Age,Country,EdLevel,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeWantToWorkWith
25-34 years old,United States of America,"Associate degree (A.A., A.S., etc.)",18,Bash/Shell (all shells);C#;Go;JavaScript;Python;Ruby;SQL;TypeScript,Assembly;Go;JavaScript;Ruby;TypeScript;Zig,MongoDB;Neo4J;PostgreSQL;Redis,Cassandra;Cockroachdb;Couch DB;Databricks SQL;DuckDB;MongoDB;PostgreSQL;Redis;Snowflake;Supabase;TiDB,Amazon Web Services (AWS);Cloudflare;Fly.io;IBM Cloud Or Watson;Microsoft Azure;Supabase,Cloudflare;Databricks;Fly.io;Google Cloud;Microsoft Azure;Scaleway;Supabase;Vercel,Deno;Next.js;Node.js;React;Ruby on Rails;Svelte
25-34 years old,Denmark,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,Bash/Shell (all shells);C#;Dart;Go;HTML/CSS;Java;JavaScript;PowerShell;R;Rust;TypeScript,Dart;Go;Rust;TypeScript;Zig,Cosmos DB;Elasticsearch;Firebase Realtime Database;InfluxDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Elasticsearch;InfluxDB;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Managed Hosting;Microsoft Azure,Cloudflare;Digital Ocean;Hetzner;Managed Hosting,Astro;Htmx;Node.js;Svelte
18-24 years old,Portugal,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,HTML/CSS;JavaScript;TypeScript,Dart;Go;HTML/CSS;TypeScript,MongoDB;PostgreSQL,Firebase Realtime Database;MongoDB;PostgreSQL,Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Angular;Express;NestJS;Node.js
35-44 years old,Japan,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",15,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Assembly;C#;HTML/CSS;Julia;OCaml;R;Rust;TypeScript,BigQuery;Dynamodb;Elasticsearch;MySQL;PostgreSQL;SQLite,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure;Vercel,Amazon Web Services (AWS);Firebase;OpenStack;Vercel,Deno;Express;FastAPI;NestJS;Next.js;Node.js;Nuxt.js;React;Remix
25-34 years old,Germany,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,Go;Java;TypeScript,Go;TypeScript,PostgreSQL;Presto;Supabase,PostgreSQL,Google Cloud;Render;Vercel,Google Cloud;Render;Vercel,Angular
55-64 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",26,Bash/Shell (all shells);C;C++;Delphi;Go;HTML/CSS;JavaScript;Objective-C;Perl;PHP;Python;SQL,C;C++;Go;HTML/CSS;JavaScript;Kotlin;Objective-C;Perl;Python;Rust;SQL;Swift;TypeScript,Couch DB;Couchbase;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,Couch DB;Couchbase;DuckDB;Elasticsearch;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware,Amazon Web Services (AWS);Google Cloud;Hetzner;Microsoft Azure;OpenShift;OpenStack,Elm;FastAPI;Flask
25-34 years old,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12,C++;HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;Python;Rust;SQL;Swift;TypeScript,MariaDB;MySQL;SQLite,MariaDB;MySQL;SQLite,Digital Ocean,Digital Ocean,Deno;Django;Express;Laravel;Node.js;Vue.js;WordPress
35-44 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",11,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,MySQL;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Fly.io;Supabase;Vercel,Amazon Web Services (AWS);Digital Ocean;Fly.io;Supabase;Vercel,React
35-44 years old,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",14,Go;JavaScript;PHP;SQL,Go;Groovy;JavaScript;PHP;SQL,Dynamodb;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,Dynamodb;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,"Amazon Web Services (AWS);Digital Ocean;Linode, now Akamai;Microsoft Azure;VMware",Amazon Web Services (AWS),Angular;AngularJS;jQuery;Laravel;Node.js;React
25-34 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Python;TypeScript,Elasticsearch;InfluxDB;MariaDB;PostgreSQL;Redis;SQLite,PostgreSQL;SQLite,Digital Ocean;Google Cloud;Hetzner;OVH,Google Cloud;Hetzner;OVH,FastAPI;Svelte
45-54 years old,Mexico,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",23,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;Go;HTML/CSS;JavaScript;Lua;Rust;TypeScript,Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Supabase,Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure;Supabase,Amazon Web Services (AWS);Cloudflare;Microsoft Azure;Supabase,Deno;Svelte
25-34 years old,Netherlands,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",7,C++;Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;Rust;SQL,PostgreSQL,PostgreSQL,Digital Ocean;Google Cloud;Heroku;Microsoft Azure,Digital Ocean;Google Cloud;Microsoft Azure,FastAPI;Flask;Svelte
25-34 years old,Luxembourg,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",7,C;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Groovy;Java;MATLAB;Python;SQL;TypeScript,BigQuery;Elasticsearch;Firebase Realtime Database;H2;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,H2;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Heroku;OpenShift,Digital Ocean,Angular;Node.js;Spring Boot
35-44 years old,Italy,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lua;MATLAB;MicroPython;PHP;PowerShell;Python;Ruby;SQL,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;MicroPython;PHP;Python;SQL,MariaDB;Microsoft Access;MySQL;Neo4J;SQLite,MariaDB;Microsoft Access;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud;PythonAnywhere,Amazon Web Services (AWS);Google Cloud,Django;FastAPI;Flask;Node.js
25-34 years old,Mexico,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,HTML/CSS;Java;JavaScript;Python;TypeScript,JavaScript;Kotlin;Rust;Swift;TypeScript,Dynamodb;MongoDB;PostgreSQL,Dynamodb;Elasticsearch;MongoDB;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure;Vercel,Amazon Web Services (AWS);Google Cloud;Vercel,ASP.NET CORE;React;Spring Boot
25-34 years old,Austria,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;Rust;TypeScript,Bash/Shell (all shells);HTML/CSS;Rust;TypeScript,InfluxDB;MongoDB;MySQL;Redis,Cockroachdb;MongoDB,Hetzner;Managed Hosting,Hetzner;Managed Hosting,Vue.js
25-34 years old,Netherlands,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",13,HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Rust;Swift;TypeScript,HTML/CSS;JavaScript;TypeScript,InfluxDB;PostgreSQL;Redis,InfluxDB;PostgreSQL;Redis,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Firebase;Google Cloud;Microsoft Azure,Deno;Fastify;Node.js
35-44 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",8,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell (all shells);Go;Java;JavaScript;Python;Rust;SQL,Cassandra;Databricks SQL;Dynamodb;Elasticsearch;MariaDB;MongoDB;MySQL;Presto;Redis;TiDB,Cassandra;Databricks SQL;Dynamodb;Elasticsearch;MariaDB;MongoDB;MySQL;Redis;Solr;TiDB,Amazon Web Services (AWS);Netlify;OVH,Amazon Web Services (AWS);Databricks;Google Cloud;Microsoft Azure;OVH,Angular;Flask;Spring Boot;Strapi
18-24 years old,Ukraine,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,C;HTML/CSS;JavaScript;PHP;Python,PHP;Python,MariaDB;MySQL;Redis;SQLite,MariaDB;MySQL;Redis;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),Flask;Symfony
25-34 years old,Belgium,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,C#;SQL;TypeScript,C#;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE
35-44 years old,Poland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;H2;Microsoft SQL Server;MongoDB;PostgreSQL,Microsoft SQL Server;MongoDB,Amazon Web Services (AWS);Google Cloud,Google Cloud,Express;Next.js;Node.js;React
55-64 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",,C++;HTML/CSS;JavaScript;PHP;SQL;VBA,C++;HTML/CSS;JavaScript;PHP;SQL;VBA,Microsoft SQL Server;MySQL,Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure;VMware,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery
18-24 years old,United States of America,Some college/university study without earning a degree,4,Dart;HTML/CSS;JavaScript;Kotlin;Lua;PHP;Python;SQL;TypeScript,Go;JavaScript;TypeScript,MongoDB;PostgreSQL;Redis;SQLite;Supabase,MongoDB;PostgreSQL;Supabase,"Amazon Web Services (AWS);Linode, now Akamai;Supabase;Vercel",Amazon Web Services (AWS);Supabase;Vercel,Astro;Express;Htmx;Laravel;Next.js;Node.js;Phoenix;React;Solid.js
45-54 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",31,JavaScript,JavaScript,MongoDB,MongoDB,Heroku,Heroku,jQuery;Node.js
35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",19,Go;Groovy;Java;JavaScript;Python;SQL;TypeScript,Java;Python;Ruby;Rust;SQL,H2;PostgreSQL;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;Vultr,Cloudflare;Digital Ocean;Fly.io;Heroku;Scaleway;Vultr,Django
55-64 years old,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",27,JavaScript,JavaScript,MySQL,MySQL,Cloudflare,Cloudflare,jQuery
25-34 years old,China,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,Python;Ruby;SQL,Python;SQL,Clickhouse;Elasticsearch;MongoDB;MySQL;Neo4J;Redis;SQLite;TiDB,Clickhouse;Dynamodb;Elasticsearch;MongoDB;MySQL;Neo4J;PostgreSQL;Redis;Solr,Alibaba Cloud,Alibaba Cloud;Amazon Web Services (AWS);Microsoft Azure,Django;FastAPI;Vue.js
25-34 years old,Norway,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",4,C#;Python,C#,BigQuery;PostgreSQL,BigQuery;PostgreSQL,"Google Cloud;Linode, now Akamai;Microsoft Azure",Google Cloud;Microsoft Azure,Vue.js
25-34 years old,Poland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,Python;SQL,Go;Python;Rust;SQL,PostgreSQL,PostgreSQL,Google Cloud,Amazon Web Services (AWS);Google Cloud,FastAPI;Flask;React
18-24 years old,Sweden,Some college/university study without earning a degree,6,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;SQL;TypeScript,Cloud Firestore;Cosmos DB;Dynamodb;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL;SQLite,Cloud Firestore;Cosmos DB;Dynamodb;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Hetzner;Microsoft Azure;Netlify;Vultr,Amazon Web Services (AWS);Firebase;Fly.io;Google Cloud;Hetzner;Microsoft Azure;Netlify;Vultr,Astro;Express;Node.js;Vue.js
45-54 years old,South Africa,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",34,C++;Kotlin;Python;R;Rust;Swift;TypeScript,R;Rust;TypeScript,Dynamodb;MySQL;PostgreSQL,Dynamodb;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular
18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,Bash/Shell (all shells);Java;JavaScript,Bash/Shell (all shells);Java,Elasticsearch;H2;PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner;Microsoft Azure,Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner,Next.js;Spring Boot
35-44 years old,Switzerland,Some college/university study without earning a degree,18,Bash/Shell (all shells);C;C++;GDScript;Go;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;R;SQL,C;C++;Lua;Objective-C;Python;R;SQL,BigQuery;Cassandra;MariaDB;PostgreSQL;Redis;SQLite,BigQuery;PostgreSQL,"Digital Ocean;Google Cloud;Hetzner;Linode, now Akamai","Digital Ocean;Google Cloud;Hetzner;Linode, now Akamai;OpenShift;OpenStack",Angular;jQuery;React
35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Java;JavaScript;Python;SQL;Swift;TypeScript,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular;ASP.NET CORE;React;Spring Boot
35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Node.js
25-34 years old,Portugal,"Associate degree (A.A., A.S., etc.)",5,Assembly;Fortran;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,C#;Go;HTML/CSS;JavaScript;Kotlin;Python;TypeScript,MySQL;PostgreSQL,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Heroku,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure;PythonAnywhere;Vercel,Angular;Astro;Express;Gatsby;NestJS;Next.js;Node.js;React;Spring Boot;Svelte;Vue.js
25-34 years old,Switzerland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;SQL,MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL,MariaDB;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Hetzner;Render;Vercel,Amazon Web Services (AWS);Cloudflare;Hetzner;Vercel,Symfony;Vue.js
55-64 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",41,Kotlin;Perl;Swift,Kotlin;Perl;Swift,Firebase Realtime Database;MySQL;SQLite,Firebase Realtime Database;MySQL;SQLite,Amazon Web Services (AWS);Firebase,Amazon Web Services (AWS);Firebase,jQuery
25-34 years old,Germany,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,C#;Python;TypeScript,C#;Python;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;React
45-54 years old,Ireland,Some college/university study without earning a degree,23,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE;React
35-44 years old,Japan,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,HTML/CSS;Java;JavaScript;Python;TypeScript,C#;HTML/CSS;JavaScript;Python;TypeScript,Cloud Firestore;Dynamodb;Elasticsearch;MySQL;Redis,Cloud Firestore;Dynamodb;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Managed Hosting;Netlify,Digital Ocean;Firebase;Netlify,Fastify;Next.js;Node.js;Nuxt.js;React;Solid.js;Svelte;Vue.js
45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Bash/Shell (all shells);C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;OCaml;Perl;PHP;PowerShell;Python;Ruby;Rust;SQL;Swift,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Cassandra;Couch DB;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Digital Ocean,Amazon Web Services (AWS);Digital Ocean,Django;Express;Flask;Laravel;Node.js;React;Spring Boot;Svelte;Symfony;Vue.js
25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,Python,Python,Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),Angular;Django;jQuery
25-34 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,C;HTML/CSS;JavaScript;TypeScript,JavaScript;TypeScript,MongoDB;Redis,MongoDB,Amazon Web Services (AWS),Amazon Web Services (AWS),Express;Next.js;Node.js;React
35-44 years old,Switzerland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",16,Bash/Shell (all shells);Elixir;GDScript;Lua;TypeScript,Bash/Shell (all shells);C#;Elixir;GDScript;Lua;TypeScript,PostgreSQL,PostgreSQL,Microsoft Azure,Microsoft Azure,Phoenix
25-34 years old,Poland,Some college/university study without earning a degree,6,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);C;Go;Lisp;OCaml;Python;SQL,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud;OVH,Amazon Web Services (AWS);Google Cloud,Django
45-54 years old,United States of America,Some college/university study without earning a degree,10,JavaScript;SQL;TypeScript,Go;JavaScript;TypeScript,Cockroachdb;Dynamodb;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Deno;NestJS;Next.js;Node.js;React;Svelte
25-34 years old,Mexico,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,JavaScript;SQL,JavaScript;Python;R;Ruby,MySQL,Cassandra;MongoDB;MySQL,Cloudflare,Amazon Web Services (AWS);Cloudflare,Django;React;Ruby on Rails
25-34 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,C#;C++;Go;JavaScript;PowerShell;Rust,C#;Go;PowerShell;Rust,Cassandra;MongoDB;Redis,MongoDB;PostgreSQL;SQLite,Cloudflare;Microsoft Azure,Cloudflare;Microsoft Azure,ASP.NET CORE
35-44 years old,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",8,Bash/Shell (all shells);Python;R;SQL,Bash/Shell (all shells);Go;Python;Rust;SQL,PostgreSQL;SQLite,DuckDB;MongoDB;Neo4J;PostgreSQL;SQLite,Google Cloud,Amazon Web Services (AWS);Google Cloud,FastAPI
55-64 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",3,Python;SQL;VBA,Python;SQL;TypeScript;VBA,Microsoft SQL Server;PostgreSQL;Snowflake;SQLite,Microsoft SQL Server;PostgreSQL;Snowflake;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS);Microsoft Azure,Flask;Node.js
25-34 years old,Brazil,Some college/university study without earning a degree,8,Dart;JavaScript;SQL,Dart;JavaScript;SQL,Cloud Firestore;Firebase Realtime Database;MySQL;PostgreSQL,Cloud Firestore;Firebase Realtime Database;MySQL;PostgreSQL,Firebase;Google Cloud;Heroku,Firebase;Google Cloud;Heroku,Express;Node.js
35-44 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",17,Java;SQL,Java;SQL,MySQL;PostgreSQL;Redis,Cassandra;Elasticsearch;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Spring Boot
35-44 years old,Australia,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",,Bash/Shell (all shells);JavaScript;TypeScript,Bash/Shell (all shells);Python;TypeScript,Cloud Firestore;Dynamodb;PostgreSQL;Snowflake,BigQuery;Cloud Firestore;Dynamodb;PostgreSQL;Redis,"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Linode, now Akamai",Amazon Web Services (AWS);Cloudflare;Databricks;Digital Ocean;Firebase;Google Cloud,Deno;NestJS;Next.js;React
18-24 years old,Spain,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",1,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Python;TypeScript,Assembly;C;Elixir;Go;HTML/CSS;OCaml;Python;Rust;SQL;TypeScript;Zig,MySQL;PostgreSQL,Elasticsearch;PostgreSQL;Redis;SQLite,Cloudflare;Vercel,Amazon Web Services (AWS);Cloudflare;Vercel,Astro;FastAPI;React;Remix;Solid.js;Vue.js
18-24 years old,Italy,Some college/university study without earning a degree,2,Bash/Shell (all shells);JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,MySQL;PostgreSQL;Redis,MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Managed Hosting,Amazon Web Services (AWS);Cloudflare;Managed Hosting,Express;Node.js
35-44 years old,United States of America,Some college/university study without earning a degree,12,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,Bash/Shell (all shells);HTML/CSS;TypeScript,Dynamodb;Elasticsearch,Dynamodb;Elasticsearch,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare;Google Cloud,Node.js;React
18-24 years old,Syrian Arab Republic,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL,PostgreSQL;Supabase,Amazon Web Services (AWS);Vercel,Amazon Web Services (AWS);Vercel,Astro;NestJS;Next.js;Node.js;React
35-44 years old,Hungary,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",14,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Cosmos DB;MariaDB;Microsoft SQL Server;MySQL;SQLite,Cosmos DB;MariaDB;Microsoft SQL Server;MySQL;SQLite,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;Blazor;jQuery;Laravel;Next.js;Node.js;WordPress
35-44 years old,United States of America,"Associate degree (A.A., A.S., etc.)",8,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Amazon Web Services (AWS),Amazon Web Services (AWS),React
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",7,C#;HTML/CSS;SQL,C#;HTML/CSS;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,Angular;ASP.NET CORE;Blazor;jQuery
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;TypeScript,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Cloud Firestore;Cosmos DB;Microsoft SQL Server;PostgreSQL;SQLite,Cloud Firestore;Microsoft SQL Server;PostgreSQL;SQLite,Firebase;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud,ASP.NET;ASP.NET CORE;Django;Flask;jQuery;Node.js;React;Ruby on Rails;Svelte
35-44 years old,Russian Federation,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",18,C#;C++;PHP,C#;C++;PHP;Python;TypeScript,MariaDB;MySQL,MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS);Microsoft Azure,Angular;AngularJS;jQuery;WordPress
18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",1,JavaScript;Python,C;C++;Go;Python;Rust,MongoDB;Redis,Cassandra;Cockroachdb;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Deno;FastAPI;Flask;NestJS;React;Svelte
35-44 years old,United States of America,Some college/university study without earning a degree,20,Bash/Shell (all shells);Go;JavaScript;TypeScript,C#;C++;Go;JavaScript;Lua;PowerShell;TypeScript,BigQuery;MongoDB;Redis,BigQuery;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku,Express;Next.js;Node.js;React;Svelte
35-44 years old,United States of America,Some college/university study without earning a degree,15,C#;Go;Haskell;HTML/CSS;JavaScript;PHP;PowerShell;Python;Ruby;SQL;TypeScript;Visual Basic (.Net),C++;Clojure;Crystal;Elixir;Haskell;HTML/CSS;Ruby;SQL,Cloud Firestore;Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Snowflake;SQLite;Supabase,Couch DB;Couchbase;Elasticsearch;MariaDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Fly.io;Heroku;Hetzner;Microsoft Azure;Netlify;Render;Supabase;Vercel;Vultr,Digital Ocean;Fly.io;Hetzner,Express;Gatsby;Htmx;Laravel;Node.js;Phoenix;React;Ruby on Rails;Strapi;Vue.js
